serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:13,2;T916_20150208_2161_2196 mapMatch;8;T916_20150208_2161_2196 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:01,5;00:04,8;325%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:07,3;T916_20150208_2241_2271 mapMatch;8;T916_20150208_2241_2271 mapMatch8;;T386_20150207_2793_2819;mapMatch;00:01,4;00:05,0;347%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:15,7;T386_20150207_2302_2341 mapMatch;9;T386_20150207_2302_2341 mapMatch9;;T386_20150207_2793_2819;mapMatch;00:01,4;00:04,9;350%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:02,4;T386_20150207_2793_2819 mapMatch;9;T386_20150207_2793_2819 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;343%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:05,0;T386_20150212_1389_1466 mapMatch;9;T386_20150212_1389_1466 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;330%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,6;T386_20150212_1712_1767 mapMatch;9;T386_20150212_1712_1767 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;325%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:02,3;T386_20150212_2640_2693 mapMatch;9;T386_20150212_2640_2693 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:09,5;00:06,6;69%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:11,2;T916_20150207_2161_2181 mapMatch;9;T916_20150207_2161_2181 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;344%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:02,4;T916_20150208_2161_2196 mapMatch;9;T916_20150208_2161_2196 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:03,6;00:07,0;196%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:18,8;T916_20150208_2241_2271 mapMatch;9;T916_20150208_2241_2271 mapMatch9;;T386_20150212_1389_1466;mapMatch;00:04,6;00:08,4;182%;;;;;;;;;;;;;
